"Title","Author","Price","Sales Rank","Genre/Theme","Published Month","Published Year","Mean_Polarity","Mean_Subjectivity"
"A Promised Land","Barack Obama",45,1,"History","Nov",2020,0.199729437229437,0.466558441558442
"The Cold Millions","Jess Walter",28.99,2,"Fiction","Oct",2020,0.202203213453213,0.639696263881047
"Caste (Oprah's Book Club)","Isabel Wilkerson",28.8,3,"History","Aug",2020,0.181602758738175,0.431805730920314
"The Deep End (Diary of a Wimpy Kid Book 15)","Jeff Kinney",13.49,4,"Juvenile Fiction","Oct",2020,0.188392857142857,0.349553571428571
"Rhythm of War","Brandon Sanderson",34.99,5,"Fiction","Nov",2020,0.254037906537907,0.486131646131646
"The Best of Me","David Sedaris",27,6,"Family & Relationships","Nov",2020,0.180958586867678,0.321420189658826
"The Vanishing Half","Brit Bennett",24.3,7,"Fiction","Jun",2020,0.210548707979264,0.536682351672431
"Braiding Sweetgrass","Robin Wall Kimmerer",18,8,"Social Science","Aug",2015,0.120727558604917,0.412339636254731
"Untamed","Glennon Doyle",28,10,"Self-Help","Mar",2020,0.155625,0.43875
"Anxious People","Fredrik Backman",28,11,"Fiction","Sep",2020,0,0
"The Searcher","Tana French",27,13,"Fiction","Oct",2020,-0.0466459263481207,0.44683938202747
"The Truths We Hold","Kamala Harris",18,14,"Political Science","Aug",2020,0,0
"Dog Man","Dav Pilkey",12.99,15,"Juvenile Fiction","Sep",2020,0.188035714285714,0.728928571428571
"How to Be an Antiracist","Ibram X Kendi",27,16,"Social Science","Aug",2019,0.143680040197897,0.324276437847866
"Transcendent Kingdom","Yaa Gyasi",25.16,17,"Fiction","Sep",2020,0.17038465007215,0.448279414038343
"Devotions","Mary Oliver",20,19,"Poetry","Nov",2020,0.143915343915344,0.454232804232804
"Unlocked Book 8.5","Shannon Messenger",21.99,20,"Juvenile Fiction","Nov",2020,0,0
"Memorial","Bryan Washington",27,24,"Fiction","Oct",2020,0.242488035743718,0.569219714839033
"The Overstory","Richard Powers",18.95,25,"Fiction","Apr",2019,0.255805849851902,0.39641290726817
"One Life","Megan Rapinoe",27,26,"Biography & Autobiography","Nov",2020,0.14770088450644,0.367322196836086
"Circe","Madeline Miller",16.99,28,"Fiction","Apr",2020,0.106905621306132,0.283896995861282
"Mexican Gothic","Silvia Moreno-Garcia",27,29,"Fiction","Jun",2020,0.136771914152867,0.526536682012873
"Leave the World Behind","Rumaan Alam",25.19,30,"Fiction","Oct",2020,0.0938977738401758,0.610515989139764
"Dessert Person","Claire Saffitz",31.5,31,"Cooking","Oct",2020,0.296018518518519,0.425432098765432
"Modern Comfort Food","Ina Garten",35,32,"Cooking","Oct",2020,0,0
"Our Time Is Now","Stacey Abrams",27.99,33,"Social Science","Jun",2020,0.165047339282033,0.403147988632682
"My Own Words","Ruth Bader Ginsburg",18,34,"Political Science","Aug",2018,0,0
"Solutions and Other Problems","Allie Brosh",30,35,"Biography & Autobiography","Sep",2020,0.0891534391534392,0.263957360722067
"Antiracist Baby Board Book","Ibram X Kendi",8.99,36,"Juvenile Fiction","Jun",2020,0,0
"Class Act","Jerry Craft",12.99,37,"Juvenile Fiction","Oct",2020,0.159156413761677,0.479821713374345
"The Water Dancer","Ta-Nehisi Coates",18,39,"Fiction","Nov",2020,0.207124925727867,0.40177807486631
"Interior Chinatown","Charles Yu",16,40,"Fiction","Nov",2020,0.13413535868893,0.500331632653061
"The Color of Law","Richard Rothstein",17.95,42,"Political Science","May",2018,0.202422302024575,0.485944236739691
"Parable of the Sower","Octavia E Butler",16.99,43,"Fiction","Apr",2019,0.137444472194472,0.334334278968894
"The Warmth of Other Suns","Isabel Wilkerson",17.95,44,"Social Science","Oct",2011,0.193482417291603,0.5046725253212
"The Snowy Day Board Book","Ezra Jack Keats",7.19,45,"Juvenile Fiction","Jan",1996,0,0
"Dolly Parton, Songteller","Dolly Parton",50,46,"Performing Arts","Nov",2020,0,0
"The Boy, the Mole, the Fox and the Horse","Charlie Mackesy",22.99,47,"Self-Help","Oct",2019,0.289280818387961,0.51374123891981
"So You Want to Talk About Race","Ijeoma Oluo",16.99,48,"Social Science","Sep",2019,0.0801318520300002,0.300814939518643
"Moonflower Murders","Anthony Horowitz",28.99,51,"Fiction","Nov",2020,0.368164983164983,0.357895622895623
"Piranesi","Susanna Clarke",27,52,"Fiction","Sep",2020,0.240994731278822,0.567413987527624
"Logan Likes Mary Anne! (The Baby-Sitters Club Graphic Novel #8)","Ann M Martin",12.99,53,"Juvenile Fiction","Sep",2020,0.317376893939394,0.684510281385281
"Becoming","Michelle Obama",32.5,54,"Biography & Autobiography","Nov",2018,0.174074847742127,0.428875922212319
"The 99% Invisible City","Roman Mars",30,55,"Architecture","Oct",2020,0.176218906754621,0.478085918710919
"A Time for Mercy","John Grisham",29.95,56,"Fiction","Oct",2020,0.141305916305916,0.347871572871573
"The Splendid and the Vile","Erik Larson",32,57,"Biography & Autobiography","Feb",2020,0.267018974396162,0.516093719317887
"The Answer Is . . .","Alex Trebek",26,61,"Self-Help","Jul",2020,0.115925632133018,0.430707870097075
"HRH","Elizabeth Holmes",35,63,"Photography","Nov",2020,0.153603603603604,0.263063063063063
"The Lying Life of Adults","Elena Ferrante",26,64,"Fiction","Sep",2020,0.182832483346182,0.499449583901639
"A Deadly Education","Naomi Novik",28,65,"Fiction","Sep",2020,0.322076177954277,0.620320829308433
"Stamped","Jason Reynolds",18.99,66,"Young Adult Nonfiction","Mar",2020,0.170853741496599,0.413858688930118
"Intimations","Zadie Smith",10.95,67,"Biography & Autobiography","Jul",2020,0.190812681242369,0.501038628777344
"The Purpose of Power","Alicia Garza",27,69,"Political Science","Oct",2020,0.126581088664422,0.452024410774411
"I Want to Be Where the Normal People Are","Rachel Bloom",28,70,"Biography & Autobiography","Nov",2020,0.044802356343054,0.288159837578442
"Shit, Actually","Lindy West",27,71,"Social Science","Oct",2020,0.0831563956058906,0.206798909408337
"Braiding Sweetgrass","Robin Wall Kimmerer",35,74,"Social Science","Oct",2020,0.120727558604917,0.412339636254731
"Girl, Woman, Other","Bernardine Evaristo",17,75,"Fiction","Nov",2019,0.255909849630088,0.519144215205723
"Dearly","Margaret Atwood",27.99,76,"Poetry","Nov",2020,0.359243943191312,0.508724589250905
"Between the World and Me","Ta-Nehisi Coates",26,77,"Social Science","Jul",2015,0.158813614682517,0.547184958785568
"Ottolenghi Flavor","Yotam Ottolenghi",35,78,"Cooking","Oct",2020,0,0
"Is This Anything?","Jerry Seinfeld",35,80,"Humor","Oct",2020,0.105628311930833,0.240268531655086
"We Keep the Dead Close","Becky Cooper",26.1,83,"Social Science","Nov",2020,0.103359803391053,0.360722823472823
"What We'll Build","Oliver Jeffers",17.99,84,"Juvenile Fiction","Oct",2020,0.116666666666667,0.583333333333333
"The Nickel Boys","Colson Whitehead",15.95,85,"Fiction","Jun",2020,0.198764497655123,0.483015008718134
"Kamala and Maya's Big Idea","Meena Harris",17.09,86,"Juvenile Fiction","Jun",2020,0.166305555555556,0.427920634920635
"Wintering","Katherine May",24,87,"Self-Help","Nov",2020,0.366847267316017,0.575980291638186
"The Dead Are Arising","Les Payne",35,90,"History","Oct",2020,0.144834473117185,0.460577653926584
"Uncomfortable Conversations with a Black Man","Emmanuel Acho",27.99,91,"Social Science","Nov",2020,0.0934090909090909,0.530113636363636
"The Best American Short Stories 2020","Curtis Sittenfeld",16.99,92,"Fiction","Nov",2020,0.55,0.679166666666667
"Jack","Marilynne Robinson",27,93,"Fiction","Sep",2020,0.118552439623868,0.338014753104039
"The One and Only Bob","Katherine Applegate",18.99,94,"Juvenile Fiction","May",2020,0.271175390266299,0.578872053872054
"Sapiens","Yuval Noah Harari",24.99,95,"History","May",2018,0.229721827651515,0.486754223785474
"The New Jim Crow","Michelle Alexander",18.99,96,"Social Science","Jan",2020,0.125700371057514,0.514680800350443
"The Evening and the Morning","Ken Follett",36,97,"Fiction","Sep",2020,0.133052248677249,0.498015873015873
"The Fifth Season","N K Jemisin",15.99,98,"Fiction","Aug",2015,0.179069264069264,0.378083487940631
"The City We Became","N K Jemisin",28,99,"Fiction","Mar",2020,0.171077659714023,0.356345926800472
"My Grandmother's Hands","Resmaa Menakem",17.95,100,"Social Science","Sep",2017,0,0
"Normal People","Sally Rooney",17,101,"Fiction","Feb",2020,0.195034862991212,0.464023540392588
"The Office of Historical Corrections","Danielle Evans",27,102,"Fiction","Nov",2020,0.222740873990874,0.452929049179049
"Me and White Supremacy","Layla F Saad",25.99,103,"Self-Help","Jan",2020,0.119324965493444,0.381002650730912
"Luster","Raven Leilani",26,104,"Fiction","Aug",2020,0.189171810716166,0.549231071795588
"Breath","James Nestor",28,105,"Sports & Recreation","May",2020,0.184220743692335,0.459663779622654
"The Couch Potato","Jory John",18.99,106,"Juvenile Fiction","Nov",2020,0.0776190476190476,0.229206349206349
"Burnout","Emily Nagoski",17,107,"Social Science","Jan",2020,0.160690235690236,0.407239057239057
"The Bad Guys in The One?! (The Bad Guys #12)","Aaron Blabey",6.99,108,"Juvenile Fiction","Nov",2020,-0.172222222222222,0.483333333333333
"Olive, Again","Elizabeth Strout",18,109,"Fiction","Nov",2020,0.168935950413223,0.388470844811754
"Salt, Fat, Acid, Heat","Samin Nosrat",37.5,110,"Cooking","Apr",2017,0.322942728411309,0.551395168371291
