,Title,Author,Price,Sales Rank,Genre/Theme,Published Month,Published Year
0, A Promised Land,Barack Obama,45.0,1,History,Nov,2020
1, Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,28.8,2,History,Aug,2020
2, The Cold Millions: A Novel,Jess Walter,28.99,3,Fiction,Oct,2020
3, The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,13.49,4,Juvenile Fiction,Oct,2020
4, The Vanishing Half: A Novel,Brit Bennett,24.3,5,Fiction,Jun,2020
5, The Best of Me,David Sedaris,27.0,6,Family & Relationships,Nov,2020
6," Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",Robin Wall Kimmerer,18.0,7,Social Science,Aug,2015
7, Untamed,Glennon Doyle,28.0,8,Self-Help,Mar,2020
8, The Searcher: A Novel,Tana French,27.0,9,Fiction,Oct,2020
9, How to Be an Antiracist,Ibram X Kendi,27.0,10,Social Science,Aug,2019
10, Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9),Dav Pilkey,12.99,12,Juvenile Fiction,Sep,2020
11, Anxious People,Fredrik Backman,28.0,13,Fiction,Sep,2020
12, Transcendent Kingdom: A novel,Yaa Gyasi,25.16,14,Fiction,Sep,2020
13, Greenlights,Matthew McConaughey,30.0,17,"Body, Mind & Spirit",Oct,2020
14, The Truths We Hold: An American Journey,Kamala Harris,18.0,19,Political Science,Aug,2020
15, Circe,Madeline Miller,16.99,20,Fiction,Apr,2020
16, Leave the World Behind: A Novel,Rumaan Alam,25.19,21,Fiction,Oct,2020
17, Solutions and Other Problems,Allie Brosh,30.0,22,Biography & Autobiography,Sep,2020
18, Mexican Gothic,Silvia Moreno-Garcia,27.0,23,Fiction,Jun,2020
19, So You Want to Talk About Race,Ijeoma Oluo,16.99,24,Social Science,Sep,2019
20, My Own Words,Ruth Bader Ginsburg,18.0,25,Political Science,Aug,2018
21, Memorial: A Novel,Bryan Washington,27.0,26,Fiction,Oct,2020
22, The Overstory: A Novel,Richard Powers,18.95,27,Fiction,Apr,2019
23," Our Time Is Now: Power, Purpose, and the Fight for a Fair America",Stacey Abrams,27.99,28,Social Science,Jun,2020
